MC_Bin      Toa         TimeEnd            Mag     PW    Freq     Fmin     Fmax    Fmop   Phase01  CW   PhaseSegs  Thres FileSeek
3      642047488.00   642048512.00      58.4 1024.00  119.14  119.14  119.14 0  111.39 0 1    55.9  321023744 
2      642225152.00   642226176.00      64.8 1024.00  121.09  121.09  121.09 0   92.62 0 1    61.0  321112576 
5      642364416.00   642464256.00      79.8 99840.00  115.23  115.23  115.23 0   -0.55 0 194    70.3  321182208 
13      642562560.00   642563584.00      65.9 1024.00   99.61   99.61   99.61 0  106.01 0 1    62.2  321281280 
6      642579456.00   642580480.00      66.6 1024.00  113.28  113.28  113.28 0  -75.57 0 1    60.5  321289728 
6      642582528.00   642583552.00      60.8 1024.00  113.28  113.28  113.28 0  -89.61 0 1    59.7  321291264 
6      643208704.00   643209728.00      66.3 1024.00  113.28  113.28  113.28 0 -116.36 0 1    65.2  321604352 
18      643350016.00   643351552.00      64.4 1536.00   89.84   89.84   89.84 0  135.28 0 1    61.8  321675008 
11      643432448.00   643433472.00      62.0 1024.00  103.52  103.52  103.52 0 -172.44 0 1    61.5  321716224 
5      643388928.00   643488256.00      79.9 99328.00  115.23  115.23  115.23 0    2.72 0 193    71.2  321694464 
23      643548672.00   643549696.00      64.7 1024.00   80.08   80.08   80.08 0 -129.93 0 1    63.5  321774336 
18      643641344.00   643642368.00      60.1 1024.00   89.84   89.84   89.84 0  -17.96 0 1    58.7  321820672 
9      643948544.00   643949568.00      67.8 1024.00  107.42  107.42  107.42 0  126.77 0 1    62.8  321974272 
3      644389376.00   644390400.00      67.0 1024.00  119.14  119.14  119.14 0  175.09 0 1    63.7  322194688 
13      644401664.00   644402688.00      63.3 1024.00   99.61   99.61   99.61 0    8.71 0 1    61.5  322200832 
5      644412928.00   644512768.00      79.7 99840.00  115.23  115.23  115.23 0   -2.52 0 194    69.5  322206464 
10      644659712.00   644660736.00      64.9 1024.00  105.47  105.47  105.47 0   78.08 0 1    64.7  322329856 
23      644676096.00   644677120.00      64.6 1024.00   80.08   80.08   80.08 0   22.65 0 1    63.6  322338048 
18      644896768.00   644897792.00      65.9 1024.00   89.84   89.84   89.84 0   93.30 0 1    61.9  322448384 
5      645436928.00   645536768.00      79.6 99840.00  115.23  115.23  115.23 0   -1.13 0 194    70.8  322718464 
22      645763584.00   645764608.00      61.6 1024.00   82.03   82.03   82.03 0   99.94 0 1    60.2  322881792 
24      646002176.00   646004224.00      65.1 2048.00   78.12   78.12   78.12 0  114.71 0 1    57.4  323001088 
28      646012416.00   646013440.00      65.0 1024.00   70.31   70.31   70.31 0    4.79 0 1    63.2  323006208 
5      646460928.00   646560768.00      79.7 99840.00  115.23  115.23  115.23 0    0.35 0 194    67.3  323230464 
7      646689792.00   646690816.00      64.9 1024.00  111.33  111.33  111.33 0  145.73 0 1    62.5  323344896 
22      646863872.00   646864896.00      66.3 1024.00   82.03   82.03   82.03 0  -75.90 0 1    61.8  323431936 
12      647563264.00   647564288.00      62.4 1024.00  101.56  101.56  101.56 0  159.68 0 1    61.7  323781632 
5      647485440.00   647584768.00      79.6 99328.00  115.23  115.23  115.23 0    2.13 0 193    66.2  323742720 
2      647657472.00   647658496.00      64.9 1024.00  121.09  121.09  121.09 0  -85.08 0 1    63.3  323828736 
25      647767552.00   647770112.00      64.0 2560.00   76.17   76.17   76.17 0 -139.05 0 1    58.6  323883776 
